model_name,dataset_name,avg_accuracy,std_accuracy,avg_f1_macro,std_f1_macro,avg_roc_auc,std_roc_auc
xlnet-base-cased,"2.Первый жанр без клауз, включающих наречия",0.6525270734379535,0.08168560550599094,0.5869101740229131,0.16844869233414617,0.800982302992978,0.027449865519997323
xlm-roberta-base,"2.Первый жанр без клауз, включающих наречия",0.6336143016317457,0.12418339370122014,0.454779915418059,0.19678762989364074,0.8910629682163397,0.06986340298386365
DeepPavlov/rubert-base-cased,1.Первый жанр исходная выборка,0.9929740872014313,0.004160624832882275,0.9929096506993503,0.004206616287819811,0.9999508538681198,6.950317411861256e-05
bert-base-multilingual-cased,1.Первый жанр исходная выборка,0.9888735420994013,0.007201020563254612,0.9886575437846042,0.007292878680036952,0.9972521822659558,0.005212907871069473
sberbank-ai/rugpt3small_based_on_gpt2,1.Первый жанр исходная выборка,0.9870808868808054,0.007276792228431458,0.9868768200409,0.007399074502124366,0.9992305008090799,0.0006239681159395402
facebook/opt-125m,1.Первый жанр исходная выборка,0.9323151993988413,0.03457725491083106,0.9301597651355209,0.036558274343709264,0.9824822901041387,0.01089251696011619
gpt2,1.Первый жанр исходная выборка,0.8895198949306716,0.026380074275855175,0.8867828297944361,0.02774901405212788,0.9539371099870889,0.013111112568703669
xlm-roberta-base,1.Первый жанр исходная выборка,0.7487264138677153,0.1515030374458906,0.6811706548740056,0.23859562824342,0.8552181888211868,0.08131164630290888
distilbert-base-multilingual-cased,1.Первый жанр исходная выборка,0.744444858656792,0.22439997645274562,0.6536127185657836,0.3113882106999799,0.8532820117855241,0.26891035895150694
xlnet-base-cased,1.Первый жанр исходная выборка,0.6364472257204766,0.0496599400591347,0.5455833792095252,0.13887345285869954,0.7708794048216818,0.029225291716962833
roberta-base,1.Первый жанр исходная выборка,0.557005263249657,0.011990861838185323,0.35770299275770107,0.004988975300364768,0.8701363361894,0.0376361960491934
