model_name,dataset_name,avg_accuracy,std_accuracy,avg_f1_macro,std_f1_macro,avg_roc_auc,std_roc_auc
distilbert-base-multilingual-cased,Изъяты лексемы с частотой выше 5,0.6626326556264623,0.04719806229495893,0.39805615865865657,0.01719757497420827,0.7841580749766112,0.049021806664372475
DeepPavlov/rubert-base-cased,Изъяты лексемы с частотой выше 49,0.9939903532034283,0.007435470262369918,0.9937307051250276,0.007737289009159614,0.9987685522573765,0.002323256537103402
bert-base-multilingual-cased,Изъяты лексемы с частотой выше 49,0.9911465149387088,0.004962104073717617,0.9908595218183693,0.005213447407399409,0.9982680717974836,0.0034089437401868773
sberbank-ai/rugpt3small_based_on_gpt2,Изъяты лексемы с частотой выше 49,0.983052201409234,0.00804024092932674,0.981507417523984,0.008621367694573936,0.9990297091951695,0.0006779809113018792
facebook/opt-125m,Изъяты лексемы с частотой выше 49,0.9393637585256237,0.013080994750348563,0.9367559931463513,0.013890441065570597,0.9838633396128335,0.006530377643062063
gpt2,Изъяты лексемы с частотой выше 49,0.7615033219098021,0.023322951925144615,0.728644163358947,0.04817462687929624,0.869784692660977,0.05099363019142272
distilbert-base-multilingual-cased,Изъяты лексемы с частотой выше 49,0.6157642779489224,0.08128090184120486,0.43738617371618727,0.1570531788410776,0.8492824731229995,0.019716238874576388
roberta-base,Изъяты лексемы с частотой выше 49,0.5992031302732977,0.03121119187768779,0.37444877219464395,0.01229032592264484,0.8499168057328559,0.032791498162892826
bert-base-multilingual-cased,Изъяты лексемы с частотой выше 3,0.9108245766851842,0.0759085782824703,0.8912722459153467,0.09817338675048128,0.9973544948091059,0.002334587193951806
DeepPavlov/rubert-base-cased,Изъяты лексемы с частотой выше 3,0.8275202756631576,0.14329711548818974,0.7401219753159571,0.2385566142749237,0.9993972043409757,0.00031229255430127706
sberbank-ai/rugpt3small_based_on_gpt2,Изъяты лексемы с частотой выше 3,0.7182988291945985,0.04263858810282011,0.5878501103510535,0.07883703685379372,0.8915651951748261,0.03936440932980711
facebook/opt-125m,Изъяты лексемы с частотой выше 3,0.6591300540842543,0.037338408872505606,0.4331680324905709,0.06026627278847587,0.8768446458807991,0.008270063052796778
