Epoch,Train Loss,Validation Accuracy,Precision,Recall,F1 Score,Learning Rate
1,0.6542578951953208,0.8503401360544217,0.8792218641842703,0.8503401360544217,0.8396241991942407,2e-05
2,0.5301849760421334,0.891156462585034,0.9072814310909549,0.891156462585034,0.8862469243016355,2e-05
3,0.3883969979743435,0.9387755102040817,0.9442311578096585,0.9387755102040817,0.9374752004120789,2e-05
4,0.2550393489942159,0.9523809523809523,0.9522956135859362,0.9523809523809523,0.9522912165113999,2e-05
5,0.1609729381456767,0.9523809523809523,0.9526425954997384,0.9523809523809523,0.9524653459079688,2e-05
6,0.10567155235434232,0.9455782312925171,0.9477270106810057,0.9455782312925171,0.9459283128456062,2e-05
7,0.07296139226384359,0.9523809523809523,0.953681666389919,0.9523809523809523,0.9526184306412147,2e-05
8,0.056779181814357024,0.9523809523809523,0.953681666389919,0.9523809523809523,0.9526184306412147,2e-05
9,0.04380781050414255,0.9523809523809523,0.953681666389919,0.9523809523809523,0.9526184306412147,2e-05
10,0.03476722191457879,0.9523809523809523,0.953681666389919,0.9523809523809523,0.9526184306412147,2e-05
