Epoch,Train Loss,Validation Accuracy,Precision,Recall,F1 Score,Learning Rate
1,0.7094726333879444,0.7278911564625851,0.7627685995032933,0.7278911564625851,0.6882442015917908,1e-05
2,0.6660475143014568,0.7619047619047619,0.8275215598050244,0.7619047619047619,0.7253750815394651,1e-05
3,0.6234555473066357,0.7959183673469388,0.84610237537638,0.7959183673469388,0.7719578485599847,1e-05
4,0.568886688310806,0.8571428571428571,0.8836915297092288,0.8571428571428571,0.8476059977293193,1e-05
5,0.5055777993920731,0.891156462585034,0.9072814310909549,0.891156462585034,0.8862469243016355,1e-05
6,0.43539315217161834,0.9183673469387755,0.9277864992150706,0.9183673469387755,0.9158683881715951,1e-05
7,0.35903441742674946,0.9387755102040817,0.9442311578096585,0.9387755102040817,0.9374752004120789,1e-05
8,0.28549817735201694,0.9455782312925171,0.9462118180605575,0.9455782312925171,0.9451303604540974,1e-05
9,0.2239572577280541,0.9455782312925171,0.9455318056568272,0.9455782312925171,0.9453669161810484,1e-05
10,0.17358770190852962,0.9455782312925171,0.9455318056568272,0.9455782312925171,0.9453669161810484,1e-05
11,0.13907717188743696,0.9455782312925171,0.9455318056568272,0.9455782312925171,0.9453669161810484,1e-05
12,0.11448558715924825,0.9455782312925171,0.9455318056568272,0.9455782312925171,0.9453669161810484,1e-05
13,0.09522622742065012,0.9523809523809523,0.9522956135859362,0.9523809523809523,0.9522912165113999,1e-05
14,0.08714614604433922,0.9523809523809523,0.9522956135859362,0.9523809523809523,0.9522912165113999,1e-05
15,0.07265857596919961,0.9523809523809523,0.9522956135859362,0.9523809523809523,0.9522912165113999,1e-05
1,0.6809085297257933,0.8503401360544217,0.8792218641842703,0.8503401360544217,0.8396241991942407,2e-05
2,0.5848829533955823,0.8639455782312925,0.8882410106899902,0.8639455782312925,0.8554977546574186,2e-05
3,0.4662176386950767,0.9115646258503401,0.9225137674117265,0.9115646258503401,0.908556462513835,2e-05
4,0.3360834921876045,0.9319727891156463,0.9336387616270998,0.9319727891156463,0.9310845795808201,2e-05
5,0.22002137605458089,0.9455782312925171,0.9455318056568272,0.9455782312925171,0.9453669161810484,2e-05
6,0.14671002389633492,0.9455782312925171,0.9455318056568272,0.9455782312925171,0.9453669161810484,2e-05
7,0.10512041024965783,0.9387755102040817,0.939083875308365,0.9387755102040817,0.9388840161673885,2e-05
8,0.0811242159098795,0.9523809523809523,0.9522956135859362,0.9523809523809523,0.9522912165113999,2e-05
9,0.060092421835415986,0.9523809523809523,0.9522956135859362,0.9523809523809523,0.9522912165113999,2e-05
10,0.04824037206907795,0.9523809523809523,0.9522956135859362,0.9523809523809523,0.9522912165113999,2e-05
11,0.03691511284815122,0.9523809523809523,0.9522956135859362,0.9523809523809523,0.9522912165113999,2e-05
12,0.03509112661831999,0.9455782312925171,0.9455782312925171,0.9455782312925171,0.9455782312925171,2e-05
13,0.028066557104865164,0.9455782312925171,0.9455782312925171,0.9455782312925171,0.9455782312925171,2e-05
14,0.022625637483106902,0.9523809523809523,0.9522956135859362,0.9523809523809523,0.9522912165113999,2e-05
15,0.027320380284361644,0.9591836734693877,0.9592492155433029,0.9591836734693877,0.9590251871357861,2e-05
1,0.6841656867771932,0.7551020408163265,0.8239795918367347,0.7551020408163265,0.7155693727122298,3e-05
2,0.5395035449772665,0.9115646258503401,0.9225137674117265,0.9115646258503401,0.908556462513835,3e-05
3,0.33946651710222847,0.9319727891156463,0.9336387616270998,0.9319727891156463,0.9310845795808201,3e-05
4,0.18054078825532574,0.9319727891156463,0.9319727891156463,0.9319727891156463,0.9319727891156463,3e-05
5,0.1021661203201503,0.9319727891156463,0.9328002546047658,0.9319727891156463,0.9322063990431338,3e-05
6,0.06576326305735601,0.9319727891156463,0.9328002546047658,0.9319727891156463,0.9322063990431338,3e-05
7,0.04815495422441665,0.9455782312925171,0.9455782312925171,0.9455782312925171,0.9455782312925171,3e-05
8,0.03580288405287756,0.9523809523809523,0.9526425954997384,0.9523809523809523,0.9524653459079688,3e-05
9,0.03379440588289744,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.9591836734693877,3e-05
10,0.02647328795227286,0.9523809523809523,0.9526425954997384,0.9523809523809523,0.9524653459079688,3e-05
11,0.024496574873385364,0.9455782312925171,0.9455782312925171,0.9455782312925171,0.9455782312925171,3e-05
12,0.019611146020358555,0.9455782312925171,0.9455782312925171,0.9455782312925171,0.9455782312925171,3e-05
13,0.01929905467143614,0.9523809523809523,0.9526425954997384,0.9523809523809523,0.9524653459079688,3e-05
14,0.018648763659269842,0.9523809523809523,0.9526425954997384,0.9523809523809523,0.9524653459079688,3e-05
15,0.014924782621738028,0.9523809523809523,0.9526425954997384,0.9523809523809523,0.9524653459079688,3e-05
1,0.6505110002543828,0.8299319727891157,0.8662712948427234,0.8299319727891157,0.8150935015154387,5e-05
2,0.3852922638801679,0.9115646258503401,0.9119994389508381,0.9115646258503401,0.9106288017852643,5e-05
3,0.16284068071678892,0.9047619047619048,0.9043795759974002,0.9047619047619048,0.9043921033168345,5e-05
4,0.08459138849826708,0.9183673469387755,0.9192823328161674,0.9183673469387755,0.9186476788517605,5e-05
5,0.04962810884191565,0.9455782312925171,0.9455782312925171,0.9455782312925171,0.9455782312925171,5e-05
6,0.029997466055497732,0.9523809523809523,0.9522956135859362,0.9523809523809523,0.9522912165113999,5e-05
7,0.02518703987541264,0.9387755102040817,0.939083875308365,0.9387755102040817,0.9388840161673885,5e-05
8,0.022475366136186743,0.9387755102040817,0.9401987838917049,0.9387755102040817,0.9390808393958473,5e-05
